SKpersonId_person1,SKpersonId_person2,personStrId_person1,personStrId_person2,sign
gap1684,skp003623,Pastrizio Giovanni^0^0^1700,Antonio Marco Magliabechi^1633^1714^0,1
gap1685,skp003623,Patarol Lorenzo^0^0^1703,Antonio Marco Magliabechi^1633^1714^0,1
gap1695,skp003623,Pedrusi Paolo^0^0^1699,Antonio Marco Magliabechi^1633^1714^0,1
gap1696,skp003623,Pegolotti Alessandro^0^0^1706,Antonio Marco Magliabechi^1633^1714^0,1
gap1708,skp003623,Perini Francesco^0^0^1700,Antonio Marco Magliabechi^1633^1714^0,1
gap1713,skp003623,Pesenti Bartolomeo^0^0^1698,Antonio Marco Magliabechi^1633^1714^0,1
gap1717,skp003623,Pettinini Ranieri^0^0^1704,Antonio Marco Magliabechi^1633^1714^0,1
gap1725,skp003623,Pianetti Giuseppe^0^0^1689,Antonio Marco Magliabechi^1633^1714^0,1
gap1745,skp003623,Piola Giuseppe Maria^0^0^1705,Antonio Marco Magliabechi^1633^1714^0,1
gap1748,skp003623,Piselli Giuseppe^0^0^1688,Antonio Marco Magliabechi^1633^1714^0,1
gap1759,skp003623,Poggesi Angelo^0^0^1700,Antonio Marco Magliabechi^1633^1714^0,1
gap1783,skp003623,Pucci Serafino^0^0^1696,Antonio Marco Magliabechi^1633^1714^0,1
gap1800,skp003623,Raineri Andrea^0^0^1698,Antonio Marco Magliabechi^1633^1714^0,1
gap1803,skp003623,Ramazzini Bernardino^1633^1714^0,Antonio Marco Magliabechi^1633^1714^0,1
gap1809,skp003623,Rassinesi Benedetto^0^0^1702,Antonio Marco Magliabechi^1633^1714^0,1
gap1813,skp003623,Ravotto Giovanni^0^0^1704,Antonio Marco Magliabechi^1633^1714^0,1
gap1816,skp003623,Regali Matteo^0^0^1689,Antonio Marco Magliabechi^1633^1714^0,1
gap1869,skp003623,Rondinelli Arrigo^0^0^1704,Antonio Marco Magliabechi^1633^1714^0,1
gap1878,skp003623,Rossi Andrea^0^0^1693,Antonio Marco Magliabechi^1633^1714^0,1
gap1882,skp003623,Rossi Giuseppe Ignazio^0^0^1701,Antonio Marco Magliabechi^1633^1714^0,1
gap1900,skp003623,Ruini Germano^0^0^1702,Antonio Marco Magliabechi^1633^1714^0,1
gap1904,skp003623,Ruota Giovanni Battista^0^0^1697,Antonio Marco Magliabechi^1633^1714^0,1
gap1917,skp003623,Salerni Giovanni Battista^0^0^1704,Antonio Marco Magliabechi^1633^1714^0,1
gap1931,skp003623,Sandri Giacomo^0^0^1701,Antonio Marco Magliabechi^1633^1714^0,1
gap1933,skp003623,Sanfelice Antonio^0^0^1703,Antonio Marco Magliabechi^1633^1714^0,1
gap1948,skp003623,Scaramucci Giovanni Battista^0^0^1693,Antonio Marco Magliabechi^1633^1714^0,1
gap1976,skp003623,Sesti Ludovico^0^0^1680,Antonio Marco Magliabechi^1633^1714^0,1
gap1991,skp003623,Sinibaldi Carlo Andrea^0^0^1687,Antonio Marco Magliabechi^1633^1714^0,1
gap2001,skp003623,Sondra Giuseppe^0^0^1703,Antonio Marco Magliabechi^1633^1714^0,1
gap2070,skp003623,Testi Annibale Marco^0^0^1701,Antonio Marco Magliabechi^1633^1714^0,1
gap2080,skp003623,Tilli Michel Angelo^0^0^1702,Antonio Marco Magliabechi^1633^1714^0,1
gap2087,skp003623,Tolomei Giovanni Battista^0^0^1695,Antonio Marco Magliabechi^1633^1714^0,1
gap2093,skp003623,Torelli Tito^0^0^1702,Antonio Marco Magliabechi^1633^1714^0,1
gap2107,skp003623,Trevisan Bernardo^0^0^1703,Antonio Marco Magliabechi^1633^1714^0,1
gap2121,skp003623,Vaccari Giuseppe Antonio^0^0^1704,Antonio Marco Magliabechi^1633^1714^0,1
gap2124,skp003623,Vaira Antonio^0^0^1695,Antonio Marco Magliabechi^1633^1714^0,1
gap2139,skp003623,Vanni Giovan Francesco^0^0^1687,Antonio Marco Magliabechi^1633^1714^0,1
gap2146,skp003623,Venerosi Brandaligio^0^0^1699,Antonio Marco Magliabechi^1633^1714^0,1
gap2150,skp003623,Venturini Giusto^0^0^1705,Antonio Marco Magliabechi^1633^1714^0,1
gap2163,skp003623,Viali Felice^0^0^1678,Antonio Marco Magliabechi^1633^1714^0,1
gap2218,skp003623,Zaccagni Lorenzo^0^0^1700,Antonio Marco Magliabechi^1633^1714^0,1
gap2233,skp003623,Zeno Apostolo^0^0^1703,Antonio Marco Magliabechi^1633^1714^0,1
gap2281,skp003623,Pecori Anton Francesco^0^0^1705,Antonio Marco Magliabechi^1633^1714^0,1
gap2282,skp003623,Jean Possuel^0^0^1685,Antonio Marco Magliabechi^1633^1714^0,1
gap2283,skp003623,Claude Rigaud^0^0^1685,Antonio Marco Magliabechi^1633^1714^0,1
skp003644,skp003623,Antonio Vallisnieri^1661^1730^0,Antonio Marco Magliabechi^1633^1714^0,1
skp009845,skp003623,Daniel van Papenbroeck^1628^1714^0,Antonio Marco Magliabechi^1633^1714^0,1
skp012261,skp003623,Ezechiel Spanheim^1629^1710^0,Antonio Marco Magliabechi^1633^1714^0,1
skp012673,skp003623,Hendrick van Bilderbeeck^1640^1715^0,Antonio Marco Magliabechi^1633^1714^0,1
skp013342,skp003623,Francesco Maria de Medici^1660^1711^0,Antonio Marco Magliabechi^1633^1714^0,1
skp015889,skp003623,Georg Abraham Mercklin^1644^1702^0,Antonio Marco Magliabechi^1633^1714^0,1
skp016147,skp003623,Giorgio Biagio Baglivi^1668^1707^0,Antonio Marco Magliabechi^1633^1714^0,1
skp016743,skp003623,Giacinto Cestoni^0^0^1716,Antonio Marco Magliabechi^1633^1714^0,1
skp016830,skp003623,Gijsbert Cuper^1644^1716^0,Antonio Marco Magliabechi^1633^1714^0,1
skp016959,skp003623,Giovanni Cinelli Calvolli^1625^1706^0,Antonio Marco Magliabechi^1633^1714^0,1
skp016982,skp003623,Giovanni Giuseppe Orsi^0^0^1724,Antonio Marco Magliabechi^1633^1714^0,1
skp017089,skp003623,Giulio Negri^0^0^1700,Antonio Marco Magliabechi^1633^1714^0,1
skp017150,skp003623,Giuseppe Valletta^1636^1714^0,Antonio Marco Magliabechi^1633^1714^0,1
skp017330,skp003623,Gottfried Wilhelm Leibniz^1646^1716^0,Antonio Marco Magliabechi^1633^1714^0,1
skp017529,skp003623,Grimaldi^0^0^1706,Antonio Marco Magliabechi^1633^1714^0,1
skp024024,skp003623,Jacobus Gronovius^1645^1716^0,Antonio Marco Magliabechi^1633^1714^0,1
skp025678,skp003623,Jean Mabillon^1632^1707^0,Antonio Marco Magliabechi^1633^1714^0,1
skp027356,skp003623,Johann Albert Fabricius^1668^1736^0,Antonio Marco Magliabechi^1633^1714^0,1
skp027439,skp003623,Johann Burkhard Mencke^1674^1732^0,Antonio Marco Magliabechi^1633^1714^0,1
skp029986,skp003623,Justus Fontaninus^1666^1736^0,Antonio Marco Magliabechi^1633^1714^0,1
skp031486,skp003623,Laurentius Theodorus Gronovius^1648^1724^0,Antonio Marco Magliabechi^1633^1714^0,1
skp031889,skp003623,Lodovico Antonio Muratori^1672^1750^0,Antonio Marco Magliabechi^1633^1714^0,1
skp032222,skp003623,Louis Thomassin de Mazaugues^1647^1712^0,Antonio Marco Magliabechi^1633^1714^0,1
skp032392,skp003623,Lucas Schroeck^1646^1730^0,Antonio Marco Magliabechi^1633^1714^0,1
skp036144,skp003623,Nicolaus Xaverius Valletta^1687^1717^0,Antonio Marco Magliabechi^1633^1714^0,1
skp036686,skp003623,Prospero Mandosio^1650^1709^0,Antonio Marco Magliabechi^1633^1714^0,1
skp037757,skp003623,Petrus Burman^1668^1741^0,Antonio Marco Magliabechi^1633^1714^0,1
skp037851,skp003623,Petrus Hotton^1648^1709^0,Antonio Marco Magliabechi^1633^1714^0,1
skp042419,skp003623,Thierry Ruinart^1657^1709^0,Antonio Marco Magliabechi^1633^1714^0,1
skp042495,skp003623,Thomas Fritsch^1666^1726^0,Antonio Marco Magliabechi^1633^1714^0,1
skp044141,skp003623,Wilhelm Ernst Tentzel^1659^1707^0,Antonio Marco Magliabechi^1633^1714^0,1
skp044603,skp003623,Willem Surenhuisen^1666^1729^0,Antonio Marco Magliabechi^1633^1714^0,1
skp009845,skp003696,Daniel van Papenbroeck^1628^1714^0,Antonius Matthaeus^1635^1710^0,1
skp003696,skp016830,Antonius Matthaeus^1635^1710^0,Gijsbert Cuper^1644^1716^0,1
skp003717,skp037757,Antonius Schultingh^1659^1734^0,Petrus Burman^1668^1741^0,1
skp003737,skp016830,Antonius van Dale^1638^1708^0,Gijsbert Cuper^1644^1716^0,1
skp042320,skp003737,Theodorus Janssonius van Almeloveen^1657^1712^0,Antonius van Dale^1638^1708^0,1
skp042320,skp003913,Theodorus Janssonius van Almeloveen^1657^1712^0,Arnold Moonen^1644^1711^0,1
skp016830,skp003942,Gijsbert Cuper^1644^1716^0,Arnoldus Drakenborch^1684^1748^0,1
skp042320,skp004594,Theodorus Janssonius van Almeloveen^1657^1712^0,Balduinus Offenbergius^0^0^1704,1
